Corporation,project_code,j_name,lat,long,footpath,refuge_islands,signals,cctv,vehicular_light,lane_marking,pedestrian_crossing,median_island,table_top,landscape,cat_eyes,traffic_police_chowk,street_furniture,median,pavers,tactile_pavers,rumble_strips,pedestrian_light,signage,pelican_signals,bus_stop_shifting,autobays,cycle_track,pickup_dropoff,pedestrian_only_zone,tree_pits,bollards,j_code,road_hierarchy,theme,overlapping theme,budget
South,J53,Dollars Colony Flyover Road Junction,12.90631,77.59507,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,J-A442,ARTERIAL,Commercial ,Commercial ,"70,00,000"
South,J54,JP Nagar 14th main road - ORR Junction,12.90634,77.59198,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,PI-S-013,ARTERIAL,Commercial ,Commercial ,"6,00,000"
South,J55,JP Nagar 20th main road - ORR Junction,12.90639,77.5883,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,PI-S-014,ARTERIAL,School,School | Commercial ,"50,000"
South,J56,JP Nagar 24th main road - ORR Junction,12.90644,77.58575,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,PI-S-015,ARTERIAL,Commercial ,Commercial ,"2,00,00,000"
South,J57,ORR BWSSB pipeline Junction,12.90878,77.57026,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-016,ARTERIAL,School,School | Commercial ,"20,00,000"
South,J58,Tippu Sulthan Circle,12.90794,77.57078,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,PI-S-017,SUB_ARTERIAL,School,School,"70,00,000"
South,J59,ORR Dayanand College Road,12.91253,77.5672,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,PI-S-018,ARTERIAL,Commercial ,Commercial ,"6,00,000"
South,J60,Kadrenahalli Cross,12.91391,77.5661,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PI-S-019,SUB_ARTERIAL,Commercial ,Commercial ,"50,000"
South,J61,Marenahalli RV Road Junction,12.91713,77.5803,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,J-A411,ARTERIAL,Safe Corridor,,"2,00,00,000"
South,J62,RV Road - 40th cross Road Junction,12.91994,77.5802,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,PI-S-020,ARTERIAL,School,School,"20,00,000"
